HGNC ID	Approved Symbol	Approved Name	Locus Type	Locus Group	Chromosome	Entrez Gene ID	RefSeq IDs	OMIM ID(supplied by OMIM)	RefSeq(supplied by NCBI)
42025	A1BG	A1BG	gene-with-protein-product	protein-coding-gene	chr1	A1BG	XM_005616028.1	A1BG	XM_005616028.1
31166	A1CF	A1CF	gene-with-protein-product	protein-coding-gene	chr26	A1CF	XM_534776.4	A1CF	XM_534776.4
31410	A2M	A2M	gene-with-protein-product	protein-coding-gene	chr27	A2M	XM_005637175.1	A2M	XM_005637175.1
45415	A2ML1	A2ML1	gene-with-protein-product	protein-coding-gene	chr27	A2ML1	XM_543824.4	A2ML1	XM_543824.4
46283	A3GALT2	A3GALT2	gene-with-protein-product	protein-coding-gene	chr2	A3GALT2	XM_544424.4	A3GALT2	XM_544424.4
37955	A4GALT	A4GALT	gene-with-protein-product	protein-coding-gene	chr10	A4GALT	XM_005625793.1	A4GALT	XM_005625793.1
32162	A4GNT	A4GNT	gene-with-protein-product	protein-coding-gene	chr23	A4GNT	XM_005634486.1	A4GNT	XM_005634486.1
6435	AAAS	AAAS	gene-with-protein-product	protein-coding-gene	chr27	AAAS	XM_003639940.2	AAAS	XM_003639940.2
44765	AACS	AACS	gene-with-protein-product	protein-coding-gene	chr26	AACS	XM_543365.4	AACS	XM_543365.4
30251	AADAC	AADAC	gene-with-protein-product	protein-coding-gene	chr23	AADAC	XM_534309.4	AADAC	XM_534309.4
8665	AADACL2	AADACL2	gene-with-protein-product	protein-coding-gene	chr23	AADACL2	XM_005634573.1	AADACL2	XM_005634573.1
46500	AADACL3	AADACL3	gene-with-protein-product	protein-coding-gene	chr2	AADACL3	XM_544560.4	AADACL3	XM_544560.4
6225	AADACL4	AADACL4	gene-with-protein-product	protein-coding-gene	chr2	AADACL4	XM_844461.3	AADACL4	XM_844461.3
44543	AADAT	AADAT	gene-with-protein-product	protein-coding-gene	chr25	AADAT	XM_005635634.1	AADAT	XM_005635634.1
5371	AAED1	AAED1	gene-with-protein-product	protein-coding-gene	chr1	AAED1	XM_843287.2	AAED1	XM_843287.2
9868	AAGAB	AAGAB	gene-with-protein-product	protein-coding-gene	chr30	AAGAB	XM_848482.3	AAGAB	XM_848482.3
25755	AAK1	AAK1	gene-with-protein-product	protein-coding-gene	chr10	AAK1	XM_005626182.1	AAK1	XM_005626182.1
22081	AAMDC	AAMDC	gene-with-protein-product	protein-coding-gene	chr21	AAMDC	XM_005633450.1	AAMDC	XM_005633450.1
33753	AAMP	AAMP	gene-with-protein-product	protein-coding-gene	chr37	AAMP	NM_001013850.1	AAMP	NM_001013850.1
40801	AANAT	AANAT	gene-with-protein-product	protein-coding-gene	chr9	AANAT	XM_005623964.1	AANAT	XM_005623964.1
30393	AAR2	AAR2	gene-with-protein-product	protein-coding-gene	chr24	AAR2	XM_005635002.1	AAR2	XM_005635002.1
